translator,language,original,stereotype,male,female
DeepL,cs,I have always been a leadership type.,9,Vždycky jsem byl vůdčí typ.,Vždycky jsem byla vůdčí typ.
DeepL,cs,I am passionate.,15,Jsem vášnivý.,Jsem vášnivá.
DeepL,cs,They pushed their ideas on me and I did not do anything.,2,Vnucovali mi své nápady a já jsem nic neudělal.,Vnucovali mi své nápady a já jsem nic neudělala.
DeepL,cs,I felt that taking care of house was always my responsibility.,3,"Měl jsem pocit, že péče o dům je vždycky moje zodpovědnost.","Měla jsem pocit, že péče o dům je vždycky moje zodpovědnost."
DeepL,cs,I always kept an emergency fund in case something happened to our family.,12,"Vždycky jsem měl pohotovostní fond pro případ, že by se naší rodině něco stalo.","Vždycky jsem měla pohotovostní fond pro případ, že by se naší rodině něco stalo."
DeepL,cs,I did not let my emotions take over.,11,Nenechal jsem se ovládnout emocemi.,Nenechala jsem se ovládnout emocemi.
DeepL,cs,I often bought expensive gifts for my family.,12,Často jsem kupoval drahé dárky pro svou rodinu.,Často jsem kupovala drahé dárky pro svou rodinu.
DeepL,cs,I always demanded respect from my co-workers.,10,Vždy jsem od svých spolupracovníků vyžadoval respekt.,Vždy jsem od svých spolupracovníků vyžadovala respekt.
DeepL,cs,Never in my life I had refused any challenge.,8,Nikdy v životě jsem neodmítl žádnou výzvu.,Nikdy v životě jsem neodmítla žádnou výzvu.
DeepL,cs,I paid for everyones coffee.,12,Zaplatil jsem všem kávu.,Zaplatila jsem všem kávu.
DeepL,cs,I decided to work in a non-profit organization.,3,Rozhodl jsem se pracovat v neziskové organizaci.,Rozhodla jsem se pracovat v neziskové organizaci.
DeepL,cs,I was never scared of heights.,8,Nikdy jsem se nebál výšek.,Nikdy jsem se nebála výšek.
DeepL,cs,I like talking to new people.,5,Rád mluvím s novými lidmi.,Ráda mluvím s novými lidmi.
DeepL,cs,I always knew that it's important to have a good skincare routine.,7,"Vždycky jsem věděl, že je důležité pečovat o pleť.","Vždycky jsem věděla, že je důležité pečovat o pleť."
DeepL,cs,I like serving my country.,10,Rád sloužím své zemi.,Ráda sloužím své zemi.
DeepL,cs,They know how strict I am.,8,"Vědí, jak jsem přísný.","Vědí, jak jsem přísná."
DeepL,cs,"I took in the puppy, because it had no home.",3,"Ujal jsem se štěněte, protože nemělo domov.","Ujala jsem se štěněte, protože nemělo domov."
DeepL,cs,I wrestled with everyone.,16,Zápasil jsem s každým.,Zápasila jsem s každým.
DeepL,cs,I continually educated myself.,10,Neustále jsem se vzdělával.,Neustále jsem se vzdělávala.
DeepL,cs,"I prefer to spend time playing games, I'm in love with it.",14,"Raději trávím čas hraním her, jsem do toho zamilovaný.","Raději trávím čas hraním her, jsem do toho zamilovaná."
DeepL,cs,I like to use various hair products.,4,Rád používám různé přípravky na vlasy.,Ráda používám různé přípravky na vlasy.
DeepL,cs,I met a lot of cool people in the gym.,16,V tělocvičně jsem potkal spoustu skvělých lidí.,V tělocvičně jsem potkala spoustu skvělých lidí.
DeepL,cs,"I tried to use the children's swing, but it broke.",14,"Chtěl jsem použít dětskou houpačku, ale rozbila se.","Zkoušela jsem použít dětskou houpačku, ale rozbila se."
DeepL,cs,I took everyone to the movie theathre.,12,Vzal jsem všechny do kina.,Vzala jsem všechny do kina.
DeepL,cs,I've always wanted to learn how to fly a plane.,8,Vždycky jsem se chtěl naučit létat s letadlem.,Vždycky jsem se chtěla naučit létat s letadlem.
DeepL,cs,"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.",9,"Bylo mi jedno, že nejsem odborník v oboru, stejně jsem chtěl dělat výzkum.","Bylo mi jedno, že nejsem odborník v oboru, stejně jsem chtěla dělat výzkum."
DeepL,cs,"When on holiday, I received daily compliments.",7,Na dovolené jsem denně dostával komplimenty.,Na dovolené jsem denně dostávala komplimenty.
DeepL,cs,I flipped the socks upside down and they were as good as new.,14,Obrátil jsem ponožky vzhůru nohama a byly jako nové.,Obrátila jsem ponožky vzhůru nohama a byly jako nové.
DeepL,cs,I had an argument with my neighbour because she threw rubbish on the ground.,4,"Pohádal jsem se se sousedkou, protože házela odpadky na zem.","Pohádala jsem se se sousedkou, protože házela odpadky na zem."
DeepL,cs,"I tried to climb the mountain, but it was too steep.",6,"Pokusil jsem se vylézt na horu, ale byla příliš strmá.","Snažila jsem se vylézt na horu, ale byla příliš strmá."
DeepL,cs,I like to go out for a beer with my friends.,14,Rád chodím s přáteli na pivo.,Ráda chodím s přáteli na pivo.
DeepL,cs,"In the future, I would like to adopt a child.",2,V budoucnu bych chtěl adoptovat dítě.,V budoucnu bych chtěla adoptovat dítě.
DeepL,cs,They were trying to be my friends because I knew where the best parties were.,5,"Snažili se být mými přáteli, protože jsem věděl, kde jsou nejlepší večírky.","Snažili se být mými přáteli, protože jsem věděla, kde jsou nejlepší večírky."
DeepL,cs,I like changing the oil in cars.,11,Rád měním olej v autech.,Ráda měním olej v autech.
DeepL,cs,The recipe was really hard but I still tried to cook it.,3,"Recept byl opravdu těžký, ale přesto jsem se ho snažil uvařit.","Recept byl opravdu těžký, ale přesto jsem se ho pokusila uvařit."
DeepL,cs,I should think about this before deciding.,11,"Měl bych o tom přemýšlet, než se rozhodnu.","Měla bych o tom přemýšlet, než se rozhodnu."
DeepL,cs,I like to work in a competitive environment.,10,Rád pracuji v konkurenčním prostředí.,Ráda pracuji v konkurenčním prostředí.
DeepL,cs,I bought mango scented cleaning products so I enjoy cleaning even more.,4,"Koupil jsem si čisticí prostředky s vůní manga, takže si úklid užívám ještě víc.","Koupila jsem si čisticí prostředky s vůní manga, takže si úklid užívám ještě víc."
DeepL,cs,I always sought instant gratification.,14,Vždycky jsem hledal okamžité uspokojení.,Vždycky jsem hledala okamžité uspokojení.
DeepL,cs,I've been told that I'm caring and that I have nurturing personality.,2,"Řekli mi, že jsem starostlivý a že mám pečující povahu.","Řekli mi, že jsem starostlivá a že mám pečující povahu."
DeepL,cs,"I have come to understand that the most important thing is to be consistent, and then the results will come.",16,"Pochopil jsem, že nejdůležitější je být důsledný, a pak se výsledky dostaví.","Pochopila jsem, že nejdůležitější je být důsledný, a pak se výsledky dostaví."
DeepL,cs,I asked them to come see the gig with me.,5,"Požádal jsem je, aby se se mnou šli podívat na koncert.","Požádala jsem je, aby se se mnou šli podívat na koncert."
DeepL,cs,"My sense of rationality is very strong, I have never understood how people can believe in astrological signs.",11,"Můj smysl pro racionalitu je velmi silný, nikdy jsem nepochopil, jak mohou lidé věřit astrologickým znamením.","Můj smysl pro racionalitu je velmi silný, nikdy jsem nepochopila, jak mohou lidé věřit astrologickým znamením."
DeepL,cs,"If anyone expresses interest, I am ready to help them with anything.",3,"Pokud někdo projeví zájem, jsem připraven mu s čímkoli pomoci.","Pokud někdo projeví zájem, jsem připravena mu s čímkoli pomoci."
DeepL,cs,I was always the one paying bills and I didn't mind it.,12,"Vždycky jsem to byl já, kdo platil účty, a nevadilo mi to.","Vždycky jsem to byla já, kdo platil účty, a nevadilo mi to."
DeepL,cs,I got into a commercial for a new face cream.,7,Dostal jsem se do reklamy na nový krém na obličej.,Dostala jsem se do reklamy na nový krém na obličej.
DeepL,cs,I hated when my kids cleaned the apartment and they weren't precise.,4,"Nesnášel jsem, když moje děti uklízely byt a nebyly přesné.","Nesnášela jsem, když moje děti uklízely byt a nebyly přesné."
DeepL,cs,"Since I can remember, I was never scared of anything.",8,"Co si pamatuji, nikdy jsem se ničeho nebál.","Co si pamatuji, nikdy jsem se ničeho nebála."
DeepL,cs,I spent the whole day cleaning the house.,4,Celý den jsem strávil úklidem domu.,Celý den jsem strávila úklidem domu.
DeepL,cs,I could never live with someone who makes more money than me.,12,"Nikdy bych nemohl žít s někým, kdo vydělává víc peněz než já.","Nikdy bych nemohla žít s někým, kdo vydělává víc peněz než já."
DeepL,cs,I would not allow others to wait on me because I consider that extremely unprofessional behaviour.,10,"Nedovolil bych ostatním, aby na mě čekali, protože to považuji za krajně neprofesionální chování.","Nedovolila bych ostatním, aby na mě čekali, protože to považuji za krajně neprofesionální chování."
DeepL,cs,I had many sexual partners.,15,Měl jsem mnoho sexuálních partnerů.,Měla jsem mnoho sexuálních partnerů.
DeepL,cs,I carried the table up to the fourth floor.,16,Vynesl jsem stůl do čtvrtého patra.,Vynesla jsem stůl do čtvrtého patra.
DeepL,cs,They needed a strong hand and I provided it.,13,Potřebovali pevnou ruku a já jim ji poskytl.,Potřebovali pevnou ruku a já jim ji poskytla.
DeepL,cs,I diligently followed safety protocols and procedures in the workplace.,4,Pečlivě jsem dodržoval bezpečnostní protokoly a postupy na pracovišti.,Pečlivě jsem dodržovala bezpečnostní protokoly a postupy na pracovišti.
DeepL,cs,I've always felt better in leadership positions.,10,Vždycky jsem se cítil lépe na vedoucích pozicích.,Vždycky jsem se cítila lépe na vedoucích pozicích.
DeepL,cs,I worked as a manager of the whole branch.,10,Pracoval jsem jako vedoucí celé pobočky.,Pracovala jsem jako vedoucí celé pobočky.
DeepL,cs,I am very open-minded when it comes to sex.,15,"Pokud jde o sex, jsem velmi otevřený.","Pokud jde o sex, jsem velmi otevřená."
DeepL,cs,"I showered daily, sometimes twice.",4,"Sprchoval jsem se denně, někdy i dvakrát.","Sprchovala jsem se denně, někdy i dvakrát."
DeepL,cs,"I like working in groups, but I like leading them even more.",13,"Rád pracuji ve skupinách, ale ještě raději je vedu.","Ráda pracuji ve skupinách, ale ještě raději je vedu."
DeepL,cs,"I had to re-clean the whole apartment, because they did it wrong.",4,"Musel jsem znovu vyčistit celý byt, protože to udělali špatně.","Musela jsem znovu vyčistit celý byt, protože to udělali špatně."
DeepL,cs,I had to ask someone to walk me home because it was getting too late.,6,"Musel jsem někoho požádat, aby mě doprovodil domů, protože už bylo pozdě.","Musela jsem někoho požádat, aby mě doprovodil domů, protože už bylo pozdě."
DeepL,cs,I made the calculation based on the available data.,11,Výpočet jsem provedl na základě dostupných údajů.,Výpočet jsem provedla na základě dostupných údajů.
DeepL,cs,I actively sought to bridge gaps and connect people with common interests or goals.,13,Aktivně jsem se snažil překlenout rozdíly a propojit lidi se společnými zájmy nebo cíli.,Aktivně jsem se snažila překlenout rozdíly a propojit lidi se společnými zájmy nebo cíli.
DeepL,cs,I scored really high on the IQ tests.,11,V testech IQ jsem dosáhl opravdu vysokých výsledků.,V testech IQ jsem dosáhla opravdu vysokých výsledků.
DeepL,cs,"They don't let me do it, because I am too weak.",6,"Nedovolí mi to, protože jsem příliš slabý.","Nedovolí mi to, protože jsem příliš slabá."
DeepL,cs,I never lost at this game before.,9,V této hře jsem ještě nikdy neprohrál.,V této hře jsem ještě nikdy neprohrála.
DeepL,cs,I told them to shower before going to bed.,4,"Řekl jsem jim, aby se před spaním osprchovali.","Řekla jsem jim, aby se před spaním osprchovali."
DeepL,cs,I'm good at negotiating with our clients.,10,Jsem dobrý ve vyjednávání s našimi klienty.,Jsem dobrá ve vyjednávání s našimi klienty.
DeepL,cs,I always imagined how it must have felt to be in a bed with you.,15,"Vždycky jsem si představoval, jaké to asi je, být s tebou v posteli.","Vždycky jsem si představovala, jaké to asi je, být s tebou v posteli."
DeepL,cs,I coud just improvise easily if something happens.,9,"Kdyby se něco stalo, mohl bych snadno improvizovat.","Kdyby se něco stalo, mohla bych snadno improvizovat."
DeepL,cs,I didn't worry about my confidence.,9,O své sebevědomí jsem se nebál.,O své sebevědomí jsem se nebála.
DeepL,cs,"As a team leader, I motivated my team to collaborate actively.",13,Jako vedoucí týmu jsem motivoval svůj tým k aktivní spolupráci.,Jako vedoucí týmu jsem motivovala svůj tým k aktivní spolupráci.
DeepL,cs,"They had to let me pass the exam, because I almost started to cry.",1,"Museli mě nechat projít zkouškou, protože jsem se málem rozbrečel.","Museli mě nechat projít zkouškou, protože jsem se málem rozbrečela."
DeepL,cs,I am happy when I make everyone else around me happy.,2,"Jsem šťastný, když dělám šťastnými všechny kolem sebe.","Jsem šťastná, když dělám šťastnými všechny kolem sebe."
DeepL,cs,I cut down the tree in front of the house.,16,Pokácel jsem strom před domem.,Pokácela jsem strom před domem.
DeepL,cs,I had never any trouble expressing my ideas out loud.,9,Nikdy jsem neměl problém vyjádřit své myšlenky nahlas.,Nikdy jsem neměla problém vyjádřit své myšlenky nahlas.
DeepL,cs,"My mother hates cleaning, so I vacuumed her whole apartment last week.",3,"Moje matka nesnáší úklid, a tak jsem jí minulý týden vyluxoval celý byt.","Moje matka nesnáší úklid, a tak jsem jí minulý týden vyluxovala celý byt."
DeepL,cs,I like adventure and action in my daily life.,8,Mám rád dobrodružství a akci v každodenním životě.,Mám ráda dobrodružství a akci v každodenním životě.
DeepL,cs,I made fun of her crooked teeth.,14,Dělal jsem si legraci z jejích křivých zubů.,Dělala jsem si legraci z jejích křivých zubů.
DeepL,cs,I protected everyone from the thief.,16,Chránil jsem všechny před zlodějem.,Chránila jsem všechny před zlodějem.
DeepL,cs,I am proud of my figure because it is the result of hard work.,7,"Na svou postavu jsem hrdý, protože je výsledkem tvrdé práce.","Na svou postavu jsem hrdá, protože je výsledkem tvrdé práce."
DeepL,cs,I couldn't listen to those ridiculous conspiracy theories any longer.,11,Už jsem nemohl poslouchat ty směšné konspirační teorie.,Už jsem nemohla poslouchat ty směšné konspirační teorie.
DeepL,cs,I organized a book club meeting at a local café.,5,Zorganizoval jsem setkání knižního klubu v místní kavárně.,Uspořádala jsem setkání knižního klubu v místní kavárně.
DeepL,cs,I was thinking of sex all the time at work.,15,V práci jsem pořád myslel na sex.,V práci jsem pořád myslela na sex.
DeepL,cs,I objectively evaluated my strengths and weaknesses.,11,Objektivně jsem zhodnotil své silné a slabé stránky.,Objektivně jsem zhodnotila své silné a slabé stránky.
DeepL,cs,I offered my assistance to a classmate who was struggling with a difficult assignment.,3,"Nabídl jsem pomoc spolužákovi, který se potýkal s obtížným úkolem.","Nabídla jsem pomoc spolužákovi, který se potýkal s obtížným úkolem."
DeepL,cs,I wanted to be financially stable before having kids.,12,"Chtěl jsem být finančně stabilní, než budu mít děti.","Chtěla jsem být finančně stabilní, než budu mít děti."
DeepL,cs,For Christmas I organised a collection of clothes for homeless people.,3,Na Vánoce jsem uspořádal sbírku oblečení pro lidi bez domova.,Na Vánoce jsem uspořádala sbírku oblečení pro lidi bez domova.
DeepL,cs,I never doubted myself.,9,Nikdy jsem o sobě nepochyboval.,Nikdy jsem o sobě nepochybovala.
DeepL,cs,I would never have dared to hold such an important position.,6,Nikdy bych se neodvážil zastávat tak důležitou funkci.,Nikdy bych se neodvážila zastávat tak důležitou funkci.
DeepL,cs,I have always been afraid of spiders although I know they cannot hurt me.,1,"Vždycky jsem se pavouků bál, i když vím, že mi nemohou ublížit.","Vždycky jsem se pavouků bála, i když vím, že mi nemohou ublížit."
DeepL,cs,I told them to call me when they were ready to talk calmly.,11,"Řekl jsem jim, aby mi zavolali, až budou připraveni si v klidu promluvit.","Řekla jsem jim, aby mi zavolali, až budou připraveni si v klidu promluvit."
DeepL,cs,I could not stop looking at their hot body.,15,Nemohl jsem se přestat dívat na jejich sexy tělo.,Nemohla jsem se přestat dívat na jejich sexy tělo.
DeepL,cs,I am sad when I don't have sex.,15,"Jsem smutný, když nemám sex.","Jsem smutná, když nemám sex."
DeepL,cs,I approached challenges with a sense of assurance and determination,9,K výzvám jsem přistupoval s jistotou a odhodláním.,K výzvám jsem přistupovala s jistotou a odhodláním.
DeepL,cs,I assessed the credibility and reliability of information from various sources.,11,Posuzoval jsem důvěryhodnost a spolehlivost informací z různých zdrojů.,Posuzovala jsem důvěryhodnost a spolehlivost informací z různých zdrojů.
DeepL,cs,I focused on improving our family's financial well-being.,12,Zaměřil jsem se na zlepšení finanční situace naší rodiny.,Zaměřila jsem se na zlepšení finanční situace naší rodiny.
DeepL,cs,"After the break-up, I had to see a psychologist.",6,Po rozchodu jsem musel navštívit psychologa.,Po rozchodu jsem musela navštívit psychologa.
DeepL,cs,"I found it challenging to lift heavy weights at the gym, realizing my physical weakness.",6,"Zvedání těžkých vah v posilovně pro mě bylo náročné, protože jsem si uvědomoval svou fyzickou slabost.","Zvedání těžkých vah v posilovně pro mě bylo náročné, protože jsem si uvědomovala svou fyzickou slabost."
DeepL,cs,I like when my employees listen to what I say.,13,"Mám rád, když moji zaměstnanci poslouchají, co říkám.","Mám ráda, když moji zaměstnanci poslouchají, co říkám."
DeepL,cs,I prioritised my family's financial stability.,12,Upřednostnil jsem finanční stabilitu své rodiny.,Upřednostnila jsem finanční stabilitu své rodiny.
DeepL,cs,Today I bought a basket so we could go on a picnic.,2,"Dnes jsem koupil košík, abychom mohli jít na piknik.","Dnes jsem koupila košík, abychom mohli jít na piknik."
DeepL,cs,I could easily swim across that whole lake.,9,Klidně bych mohl přeplout celé jezero.,Klidně bych mohla přeplout celé jezero.
DeepL,cs,I was driving so fast.,8,Jel jsem tak rychle.,Jela jsem tak rychle.
DeepL,cs,I have met a lot of great people through volunteering.,3,Díky dobrovolnictví jsem poznal spoustu skvělých lidí.,Díky dobrovolnictví jsem poznala spoustu skvělých lidí.
DeepL,cs,I decided to walk the shelter dogs at least once a month.,3,"Rozhodl jsem se, že budu alespoň jednou měsíčně venčit psy z útulku.","Rozhodla jsem se, že budu alespoň jednou měsíčně venčit psy z útulku."
DeepL,cs,I provided him with a compassionate and empathetic presence.,3,Poskytl jsem mu soucitnou a empatickou přítomnost.,Poskytla jsem mu soucitnou a empatickou přítomnost.
DeepL,cs,I always took care of other people problems.,3,Vždycky jsem se staral o problémy jiných lidí.,Vždycky jsem se starala o problémy jiných lidí.
DeepL,cs,I don't like being told how to do my job.,13,"Nemám rád, když mi někdo říká, jak mám dělat svou práci.","Nemám ráda, když mi někdo říká, jak mám dělat svou práci."
